Original_SampleID,SampleID,Run,Sex,Genotype,BrainRegion,LibraryPrepBatch
SBatch2_43_35acc_58_S57,S35_NAcc_2,2,male,WSB,NAcc,2_rerun
S53_35cea_109_S109,S35_CeA,1,male,WSB,CeA,3
SBatch3_53_35cea_109_S63,S35_CeA_2,2,male,WSB,CeA,3_rerun
S51_35prl_16_S16,S35_PrL,1,male,WSB,PrL,1
S96_36acc_77_S77,S36_NAcc,1,male,CAST,NAcc,2
SBatch2_96_36acc_77_S94,S36_NAcc_2,2,male,CAST,NAcc,2_rerun
S100_36cea_125_S125,S36_CeA,1,male,CAST,CeA,3
SBatch3_100_36cea_125_S1,S36_CeA_2,2,male,CAST,CeA,3_rerun
S93_36prl_28_S28,S36_PrL,1,male,CAST,PrL,1
S104_37acc_79_S79,S37_NAcc,1,male,AJ,NAcc,2
SBatch2_104_37acc_79_S4,S37_NAcc_2,2,male,AJ,NAcc,2_rerun
